Mass Range,Relative Error Chirp Mass (%),Relative Error Mass Ratio (%)
CNN_low_mass,-1.362465887488519,-7.3019534349441475
CNN_low_mass,-8.560897377627667,-15.128612518310542
CNN_low_mass,21.962979668750716,13.924664258956915
CNN_low_mass,-1.293400624030252,-7.365101575851435
CNN_low_mass,-9.2356420996095,-16.113546490669243
CNN_low_mass,-5.486432252012285,-12.255975604057307
CNN_low_mass,9.79662607398589,7.027819752693182
CNN_low_mass,-8.658646280249762,-11.00828349590301
CNN_low_mass,-3.03082085128397,-7.473221421241755
CNN_low_mass,-4.061848928452987,-4.305827617645258
CNN_low_mass,-11.566572288379504,-17.44223237037658
CNN_low_mass,-11.884225349099866,-15.615674853324885
CNN_low_mass,-7.52428974325144,-5.338978767395014
CNN_low_mass,3.2432882799925387,5.396332219243048
CNN_low_mass,-6.856602924862449,-1.1464882642030736
CNN_low_mass,-5.725310303517803,-9.057943150401117
CNN_low_mass,-9.949250458950571,-9.776728600263597
CNN_low_mass,-3.74003266922721,-4.317762702703478
CNN_low_mass,-2.4241068389241063,-1.5233758836984654
CNN_low_mass,-7.853744453978649,-8.580817282199861
CNN_low_mass,3.0578514085062674,5.020487681031225
CNN_low_mass,-2.299318965598478,-3.280083090066912
CNN_low_mass,-6.914675799303799,-1.1558853089809438
CNN_low_mass,-16.49894042903609,-15.061835199594501
CNN_low_mass,-5.0807619471353105,-7.009433954954149
CNN_low_mass,-6.890147578591889,-4.248761013150217
CNN_low_mass,-6.9308040952386945,-7.200140878558161
CNN_low_mass,-5.258404393009358,-2.3942556232213996
CNN_low_mass,-6.388001616692589,-5.147869139909746
CNN_low_mass,-1.5537308417843076,23.42455089092255
CNN_low_mass,-12.072642746593905,13.280558586120609
CNN_low_mass,-3.3680772099983316,21.659003943204883
CNN_low_mass,-7.963591623227615,12.47447803616524
CNN_low_mass,4.377095136716211,34.751736000180244
CNN_low_mass,-4.1101871574633355,19.379163905978206
CNN_low_mass,-1.2347778799037485,22.434629872441295
CNN_low_mass,4.674942577056903,31.241535767912865
CNN_low_mass,-5.7080608502042836,16.811620071530346
CNN_low_mass,-4.4874291168489915,21.856780722737316
